#    frfrq      xpoln     frmsfd      msfdrat
#
1587.847900 331.392853 341.805359   0.969537 
1587.638916 335.957123 342.307068   0.981450 
1587.430054 342.064270 342.803680   0.997843 
1587.220947 347.142853 343.295746   1.011206 
1587.012085 350.550018 343.781921   1.019687 
1586.802979 351.064270 344.263153   1.019756 
1586.594116 349.007141 344.738068   1.012384 
1586.385010 346.628601 345.207458   1.004117 
1586.176025 343.864288 345.670380   0.994775 
1585.967041 342.771454 346.126831   0.990306 
1585.758057 342.128571 346.576538   0.987166 
1585.549072 343.350006 347.019287   0.989426 
1585.340088 350.292877 347.454865   1.008168 
1585.131226 353.699982 347.882812   1.016722 
1584.922241 356.785706 348.303284   1.024354 
1584.713257 357.107178 348.715942   1.024063 
1584.504272 355.757172 349.120453   1.019010 
1584.295288 353.507141 349.516632   1.011417 
1584.086182 350.100006 349.904419   1.000559 
1583.877319 347.850037 350.282959   0.993054 
1583.668213 345.857147 350.652893   0.986323 
1583.459351 346.757172 351.013062   0.987875 
1583.250244 350.292877 351.364166   0.996951 
1583.041382 351.385712 351.705048   0.999092 
1582.832275 352.028595 352.036377   0.999978 
1582.623535 351.771454 352.356934   0.998338 
1582.414429 353.057159 352.667633   1.001104 
1582.205444 358.971436 352.967804   1.017009 
1581.996460 365.657135 353.257629   1.035100 
1581.787476 371.185730 353.537262   1.049920 
1581.578491 370.607147 353.806763   1.047485 
1581.369507 364.885712 354.066162   1.030558 
1581.160522 359.678558 354.315552   1.015136 
1580.951538 355.692871 354.555023   1.003209 
1580.742554 356.335693 354.784637   1.004372 
1580.533569 356.785706 355.004456   1.005018 
1580.324707 354.985687 355.214447   0.999356 
